LON,LAT,CRUISE,BEGIN_EST,SEASON,ST,STAT,SETDEPTH,BOTTEMP,NUM,WT
-70.55917,41.95867,197891,12-May-78,SPRING,26,1,16,6.3,0,0
-70.51517,41.81350,197891,12-May-78,SPRING,25,2,9,6.5,0,0
-70.48800,41.84200,197891,12-May-78,SPRING,27,3,19,5.2,0,0
-70.48567,41.98500,197891,12-May-78,SPRING,29,4,37,5.3,0,0
-70.56983,42.04500,197891,12-May-78,SPRING,28,5,27,5.2,0,0
-70.56167,42.06833,197891,12-May-78,SPRING,28,6,30,5.2,0,0
-70.68333,41.66667,197891,18-May-78,SPRING,11,7,9,11.3,0,0
-70.71917,41.62867,197891,18-May-78,SPRING,12,8,11,10.5,0,0
-70.76933,41.59600,197891,18-May-78,SPRING,12,9,12,10,0,0
-70.78200,41.55950,197891,18-May-78,SPRING,12,10,15,9.8,0,0
-70.82500,41.53683,197891,18-May-78,SPRING,12,11,15,10,0,0
-70.91750,41.58617,197891,19-May-78,SPRING,11,12,6,11.5,0,0
-70.38583,41.58750,197891,20-May-78,SPRING,15,13,6,12.5,0,0
-70.27783,41.51667,197891,20-May-78,SPRING,16,14,14,11.2,0,0
-70.20833,41.46667,197891,20-May-78,SPRING,16,15,13,10.2,0,0
-70.17000,41.49750,197891,20-May-78,SPRING,16,16,13,9.8,0,0
-70.14333,41.56417,197891,20-May-78,SPRING,16,17,12,10.2,0,0
-70.22367,41.59833,197891,22-May-78,SPRING,15,18,9,11.8,0,0
-70.10083,41.61667,197891,22-May-78,SPRING,15,19,9,12,0,0
-70.07833,41.60667,197891,22-May-78,SPRING,16,20,12,11.5,0,0
-70.04667,41.57867,197891,22-May-78,SPRING,15,21,9,12.2,0,0
-70.01500,41.57433,197891,22-May-78,SPRING,15,22,8,11.5,0,0
-70.08083,41.61000,197891,22-May-78,SPRING,16,23,10,10.5,0,0
-70.05000,41.48250,197891,23-May-78,SPRING,16,24,15,8.5,0,0
-70.00250,41.47967,197891,23-May-78,SPRING,17,25,9,9,0,0
-70.06417,41.45000,197891,23-May-78,SPRING,16,26,16,10.2,0,0
-70.13550,41.43917,197891,23-May-78,SPRING,16,27,12,12,0,0
-70.19383,41.43333,197891,23-May-78,SPRING,16,28,10,12.5,0,0
-70.21333,41.39117,197891,23-May-78,SPRING,15,29,9,13.3,0,0
-70.16367,41.35033,197891,23-May-78,SPRING,16,30,14,13.5,0,0
-70.17417,41.31667,197891,23-May-78,SPRING,15,31,8,13,0,0
-70.05167,41.40667,197891,24-May-78,SPRING,16,32,14,11,0,0
-69.96767,41.40667,197891,24-May-78,SPRING,17,33,10,9,0,0
-70.06117,41.21517,197891,24-May-78,SPRING,18,34,10,11,0,0
-70.16817,41.23667,197891,24-May-78,SPRING,18,35,12,11,0,0
-70.49300,41.52800,197891,27-May-78,SPRING,16,36,12,14,0,0
-70.53850,41.54367,197891,27-May-78,SPRING,15,37,8,15,0,0
-70.61167,41.53417,197891,27-May-78,SPRING,15,38,7,14.5,0,0
-70.69683,41.58800,197891,27-May-78,SPRING,12,39,14,12,0,0
-70.76767,41.51900,197891,27-May-78,SPRING,12,40,15,12,0,0
-70.87717,41.51233,197891,27-May-78,SPRING,12,41,15,13,0,0
-70.45500,41.76333,197891,28-May-78,SPRING,25,42,8,11.5,0,0
-70.35417,41.74417,197891,28-May-78,SPRING,25,43,7,11.4,0,0
-70.35167,41.76800,197891,28-May-78,SPRING,26,44,18,10.2,0,0
-70.37750,41.78517,197891,28-May-78,SPRING,27,45,21,9.6,0,0
-70.50567,42.02767,197891,30-May-78,SPRING,29,46,42,8,0,0
-70.62500,42.03867,197891,30-May-78,SPRING,25,47,8,9,0,0
-70.57350,42.09883,197891,30-May-78,SPRING,27,48,25,8.5,0,0
-70.68233,42.13583,197891,30-May-78,SPRING,25,49,7,9.6,0,0
-70.86350,42.28933,197891,31-May-78,SPRING,31,50,9,9.6,0,0
-70.84133,42.30250,197891,31-May-78,SPRING,32,51,15,9.5,0,0
-70.81667,42.30683,197891,31-May-78,SPRING,33,52,23,8.4,0,0
-70.73017,42.47500,197891,31-May-78,SPRING,35,53,52,8,0,0
-70.74683,42.48667,197891,31-May-78,SPRING,35,54,47,7.7,0,0
-70.74167,42.56483,197891,31-May-78,SPRING,34,55,30,8,0,0
-70.69283,42.68500,197891,01-Jun-78,SPRING,32,56,13,7.5,0,0
-70.76083,42.71000,197891,01-Jun-78,SPRING,31,57,6,12.5,0,0
-70.80317,42.78800,197891,01-Jun-78,SPRING,31,58,9,10,0,0
-70.79667,42.83500,197891,01-Jun-78,SPRING,32,59,14,6.5,0,0
-70.77833,42.84750,197891,01-Jun-78,SPRING,33,60,26,6,0,0
-70.75000,42.76883,197891,01-Jun-78,SPRING,33,61,24,6.7,0,0
-70.67750,42.73000,197891,01-Jun-78,SPRING,34,62,29,6.7,0,0
-70.61633,42.73167,197891,01-Jun-78,SPRING,35,63,42,8,0,0
-70.56783,42.65550,197891,02-Jun-78,SPRING,34,64,30,7,0,0
-70.62167,42.61667,197891,02-Jun-78,SPRING,33,65,23,6,0,0
-70.92167,42.45600,197891,02-Jun-78,SPRING,31,66,7,14.5,0,0
-70.48750,42.12417,197891,03-Jun-78,SPRING,29,67,51,8,0,0
-70.45183,42.01383,197891,03-Jun-78,SPRING,29,68,46,8.4,0,0
-70.14683,41.98167,197891,03-Jun-78,SPRING,28,69,28,13,0,0
-70.10967,41.94667,197891,03-Jun-78,SPRING,26,70,17,15.6,0,0
-70.09817,41.93583,197891,03-Jun-78,SPRING,25,71,10,15.2,0,0
-70.11667,41.89800,197891,03-Jun-78,SPRING,25,72,9,15.2,0,0
-70.20833,42.09550,197891,05-Jun-78,SPRING,21,73,39,13,0,0
-70.13633,42.08683,197891,05-Jun-78,SPRING,18,74,13,11.5,0,0
-70.09483,42.06667,197891,05-Jun-78,SPRING,17,75,7,12,0,0
-70.01667,42.02833,197891,05-Jun-78,SPRING,19,76,26,10.5,0,0
-70.01583,42.06000,197891,05-Jun-78,SPRING,21,77,42,10,0,0
-70.13333,42.09667,197891,05-Jun-78,SPRING,20,78,32,6.5,0,0
-70.25067,42.04033,197891,05-Jun-78,SPRING,29,79,53,11.5,0,0
-69.96667,41.92617,197891,06-Jun-78,SPRING,17,80,8,11,0,0
-69.94117,41.89117,197891,06-Jun-78,SPRING,19,81,20,10.5,0,0
-69.91667,41.76067,197891,06-Jun-78,SPRING,18,82,11,12.5,0,0
-70.43167,41.51000,197891,07-Jun-78,SPRING,16,83,14,16.5,0,0
-70.47833,41.40500,197891,07-Jun-78,SPRING,15,84,8,16.5,0,0
-70.76667,41.41000,197891,07-Jun-78,SPRING,12,85,15,12.5,0,0
-70.83000,41.40283,197891,07-Jun-78,SPRING,13,86,28,13.5,0,0
-70.82333,41.38467,197891,07-Jun-78,SPRING,14,87,29,13,0,0
-70.78700,41.38000,197891,07-Jun-78,SPRING,13,88,22,13,0,0
-70.77400,41.35700,197891,08-Jun-78,SPRING,11,89,9,13.5,0,0
