CommonName,SampleID,Length,Date,StationName,Latitude,Longitude,Temp,Salinity,SubstrateName
LUMPFISH,1997024,2.1,7/11/1997,Fort Stark (Little Harbor)(BS),"43o 03 28.0""N","070o 42 51.7""W",15,30,SAND
LUMPFISH,1997025,1.9,7/11/1997,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",18,30,SAND
LUMPFISH,1997025,2.1,7/11/1997,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",18,30,SAND
LUMPFISH,1997025,2.2,7/11/1997,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",18,30,SAND
LUMPFISH,1997025,2.2,7/11/1997,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",18,30,SAND
LUMPFISH,1997025,2.3,7/11/1997,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",18,30,SAND
LUMPFISH,1997025,2.6,7/11/1997,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",18,30,SAND
LUMPFISH,1997025,2.6,7/11/1997,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",18,30,SAND
LUMPFISH,1997025,2.7,7/11/1997,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",18,30,SAND
LUMPFISH,1997025,3,7/11/1997,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",18,30,SAND
LUMPFISH,1997025,3,7/11/1997,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",18,30,SAND
LUMPFISH,1997025,3.2,7/11/1997,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",18,30,SAND
LUMPFISH,1997025,3.3,7/11/1997,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",18,30,SAND
LUMPFISH,1997025,3.5,7/11/1997,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",18,30,SAND
LUMPFISH,1997025,3.5,7/11/1997,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",18,30,SAND
LUMPFISH,1997025,3.6,7/11/1997,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",18,30,SAND
LUMPFISH,1997025,3.7,7/11/1997,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",18,30,SAND
LUMPFISH,1997046,2.7,9/10/1997,Broad Cove (BS),"43o 06 56.8""N","070o 50 49.1""W",18,29,MUD
LUMPFISH,1997053,2.8,9/22/1997,Fox Point (BS),"43o 07 03.1""N","070o 51 15.1""W",15,28,MUD/SAND
LUMPFISH,1997075,2.6,11/6/1997,General Sullivan Cove (BS),"43o 07 00.1""N","070o 49 23.6""W",11,12,MUD
LUMPFISH,1998028,2.1,7/16/1998,Fort Stark (Little Harbor)(BS),"43o 03 28.0""N","070o 42 51.7""W",15,30,SAND
LUMPFISH,1998029,2.3,7/16/1998,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",17,30,SAND
LUMPFISH,1998029,2.3,7/16/1998,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",17,30,SAND
LUMPFISH,1998087,3.9,11/11/1998,Fort Stark (Little Harbor)(BS),"43o 03 28.0""N","070o 42 51.7""W",11,29,SAND
LUMPFISH,1999050,2.7,9/3/1999,Yankee Coop (BS),"42o 53 33.0""N","070o 49 12.1""W",21,33,SAND
LUMPFISH,2000030,3.2,7/26/2000,Fort Stark (Little Harbor)(BS),"43o 03 28.0""N","070o 42 51.7""W",19,33,SAND
LUMPFISH,2000084,8.9,11/7/2000,Smith & Gilmore (BS),"42o 53 58.1""N","070o 49 05.4""W",11,30,MUD/SAND
LUMPFISH,2001022,2.5,7/12/2001,General Sullivan Cove (BS),"43o 07 00.1""N","070o 49 23.6""W",17,28,MUD
LUMPFISH,2001035,2.9,8/14/2001,Yankee Coop (BS),"42o 53 33.0""N","070o 49 12.1""W",18,31,MUD/SAND
LUMPFISH,2001044,3.6,8/24/2001,Schiller Plant (BS),"43o 05 59.3""N","070o 47 15.5""W",18,31,MUD/SAND
LUMPFISH,2001052,5,9/11/2001,General Sullivan Cove (BS),"43o 07 00.1""N","070o 49 23.6""W",17,31,MUD
LUMPFISH,2001058,2.7,9/13/2001,Smith & Gilmore (BS),"42o 53 58.1""N","070o 49 05.4""W",15,31,SAND
LUMPFISH,2001080,4.9,10/12/2001,Odiorne Beach (BS),"43o 03 07.9""N","070o 43 22.9""W",12,32,SAND
LUMPFISH,2001089,4.7,11/10/2001,Smith & Gilmore (BS),"42o 53 58.1""N","070o 49 05.4""W",7,30,SAND
LUMPFISH,2002018,2,7/1/2002,Fox Point (BS),"43o 07 03.1""N","070o 51 15.1""W",22,24,MUD/SAND
LUMPFISH,2002040,2.7,8/13/2002,Fox Point (BS),"43o 07 03.1""N","070o 51 15.1""W",21,31,MUD/SAND
LUMPFISH,2002051,2.8,9/10/2002,Broad Cove (BS),"43o 06 56.8""N","070o 50 49.1""W",22,30,MUD/SAND
LUMPFISH,2002051,3.5,9/10/2002,Broad Cove (BS),"43o 06 56.8""N","070o 50 49.1""W",22,30,MUD/SAND
LUMPFISH,2002080,5.2,11/12/2002,Broad Cove (BS),"43o 06 56.8""N","070o 50 49.1""W",10,24,MUD/SAND
LUMPFISH,2003006,3.3,6/19/2003,General Sullivan Cove (BS),"43o 07 00.1""N","070o 49 23.6""W",15,21,MUD
LUMPFISH,2003024,2.1,7/21/2003,Fort Stark (Little Harbor)(BS),"43o 03 28.0""N","070o 42 51.7""W",17,28,SAND
LUMPFISH,2003054,2.6,9/18/2003,Fort Stark (Little Harbor)(BS),"43o 03 28.0""N","070o 42 51.7""W",17,31,SAND
LUMPFISH,2003054,3.1,9/18/2003,Fort Stark (Little Harbor)(BS),"43o 03 28.0""N","070o 42 51.7""W",17,31,SAND
LUMPFISH,2003054,3.6,9/18/2003,Fort Stark (Little Harbor)(BS),"43o 03 28.0""N","070o 42 51.7""W",17,31,SAND
LUMPFISH,2003063,2.1,10/1/2003,Fox Point (BS),"43o 07 03.1""N","070o 51 15.1""W",16,29,MUD/SAND
LUMPFISH,2003063,3,10/1/2003,Fox Point (BS),"43o 07 03.1""N","070o 51 15.1""W",16,29,MUD/SAND
LUMPFISH,2003063,5.5,10/1/2003,Fox Point (BS),"43o 07 03.1""N","070o 51 15.1""W",16,29,MUD/SAND
LUMPFISH,2003066,3,10/2/2003,General Sullivan Cove (BS),"43o 07 00.1""N","070o 49 23.6""W",16,30,MUD
LUMPFISH,2004018,2.3,7/6/2004,Fox Point (BS),"43o 07 03.1""N","070o 51 15.1""W",19,28,MUD/SAND
LUMPFISH,2004024,3.3,7/9/2004,Fort Stark (Little Harbor)(BS),"43o 03 28.0""N","070o 42 51.7""W",15,30,SAND
LUMPFISH,2005026,1.4,7/26/2005,Fort Stark (Little Harbor)(BS),"43o 03 28.0""N","070o 42 51.7""W",18,31,SAND
LUMPFISH,2005026,1.5,7/26/2005,Fort Stark (Little Harbor)(BS),"43o 03 28.0""N","070o 42 51.7""W",18,31,SAND
LUMPFISH,2005026,1.5,7/26/2005,Fort Stark (Little Harbor)(BS),"43o 03 28.0""N","070o 42 51.7""W",18,31,SAND
LUMPFISH,2005026,1.6,7/26/2005,Fort Stark (Little Harbor)(BS),"43o 03 28.0""N","070o 42 51.7""W",18,31,SAND
LUMPFISH,2005026,1.6,7/26/2005,Fort Stark (Little Harbor)(BS),"43o 03 28.0""N","070o 42 51.7""W",18,31,SAND
