YEAR,MONTH,COMNAME,HAILWT,CATDISP,NEGEAR,GEARNM,HAUL TARGET,DEPTH (fa),WTMP,AREA
1989,02,LUMPFISH,1,0,058,"TRAWL,OTTER,BOTTOM,SHRIMP","FISH, NK",39,,513
1989,02,LUMPFISH,5,0,058,"TRAWL,OTTER,BOTTOM,SHRIMP","FISH, NK",41,,513
1989,02,LUMPFISH,17,0,058,"TRAWL,OTTER,BOTTOM,SHRIMP","FISH, NK",45,,513
1989,02,LUMPFISH,22,0,058,"TRAWL,OTTER,BOTTOM,SHRIMP","FISH, NK",45,,513
1989,03,LUMPFISH,8,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",15,,537
1989,03,LUMPFISH,10,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",13,,537
1989,03,LUMPFISH,17,0,058,"TRAWL,OTTER,BOTTOM,SHRIMP","FISH, NK",98,,513
1989,03,LUMPFISH,11,0,058,"TRAWL,OTTER,BOTTOM,SHRIMP","FISH, NK",90,,513
1989,03,LUMPFISH,12,0,058,"TRAWL,OTTER,BOTTOM,SHRIMP","FISH, NK",95,,513
1989,04,LUMPFISH,7,0,058,"TRAWL,OTTER,BOTTOM,SHRIMP","FISH, NK",80,,513
1989,04,LUMPFISH,5,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",21,,522
1989,06,LUMPFISH,3,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",68,,512
1989,06,LUMPFISH,3,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",57,,513
1989,06,LUMPFISH,5,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",45,,513
1989,07,LUMPFISH,1,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",53,,513
1989,07,LUMPFISH,4,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",72,,513
1989,07,LUMPFISH,15,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",70,,513
1989,07,LUMPFISH,1,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",70,,512
1989,07,LUMPFISH,22,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",50,,512
1989,07,LUMPFISH,17,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",40,,512
1989,08,LUMPFISH,5,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",88,,512
1989,08,LUMPFISH,12,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",95,,512
1989,08,LUMPFISH,7,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",93,,512
1989,08,LUMPFISH,7,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",103,,511
1989,08,LUMPFISH,19,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",85,,513
1989,08,LUMPFISH,12,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",107,,515
1989,08,LUMPFISH,9,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",84,,515
1989,08,LUMPFISH,25,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",84,,515
1989,08,LUMPFISH,6,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",75,,513
1989,09,LUMPFISH,5,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",52,,513
1989,09,LUMPFISH,15,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",100,,512
1989,09,LUMPFISH,62,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",100,,512
1989,09,LUMPFISH,34,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",100,,512
1989,09,LUMPFISH,4,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",75,,513
1989,10,LUMPFISH,10,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",95,,512
1989,10,LUMPFISH,3,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",95,,512
1989,10,LUMPFISH,10,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",95,,512
1989,10,LUMPFISH,5,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",62,,513
1989,10,LUMPFISH,11,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",75,,515
1989,10,LUMPFISH,56,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",55,,513
1989,12,LUMPFISH,1,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",45,,616
1990,01,LUMPFISH,3,0,058,"TRAWL,OTTER,BOTTOM,SHRIMP","FISH, NK",85,,513
1990,01,LUMPFISH,6,0,058,"TRAWL,OTTER,BOTTOM,SHRIMP","FISH, NK",85,,513
1990,01,LUMPFISH,3,0,058,"TRAWL,OTTER,BOTTOM,SHRIMP","FISH, NK",95,,513
1990,01,LUMPFISH,6,0,058,"TRAWL,OTTER,BOTTOM,SHRIMP","FISH, NK",69,,513
1990,02,LUMPFISH,5,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",95,,522
1990,02,LUMPFISH,5,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",116,,522
1990,02,LUMPFISH,5,0,058,"TRAWL,OTTER,BOTTOM,SHRIMP","FISH, NK",99,,513
1990,02,LUMPFISH,5,0,058,"TRAWL,OTTER,BOTTOM,SHRIMP","FISH, NK",85,,513
1990,02,LUMPFISH,10,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",9,,514
1990,02,LUMPFISH,10,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",22,,514
1990,03,LUMPFISH,5,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",35,,562
1990,03,LUMPFISH,5,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",45,,522
1990,03,LUMPFISH,5,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",21,,526
1990,03,LUMPFISH,4,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",21,,537
1990,03,LUMPFISH,5,0,050,"TRAWL,OTTER,BOTTOM,FISH","FISH, NK",22,,537
1990,03,LUMPFISH,18,0,058,"TRAWL,OTTER,BOTTOM,SHRIMP","FISH, NK",43,,513
1990,03,LUMPFISH,35,0,058,"TRAWL,OTTER,BOTTOM,SHRIMP","FISH, NK",30,,513
1990,03,LUMPFISH,5,0,058,"TRAWL,OTTER,BOTTOM,SHRIMP","FISH, NK",53,,513
1990,03,LUMPFISH,5,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",11,,514
1990,03,LUMPFISH,5,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",23,,514
1990,04,LUMPFISH,5,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",11,,514
1990,04,LUMPFISH,14,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",11,,514
1990,04,LUMPFISH,20,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",11,,514
1990,04,LUMPFISH,12,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",11,,514
1990,04,LUMPFISH,12,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",11,,514
1990,04,LUMPFISH,4,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",12,,514
1990,04,LUMPFISH,5,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",15,,514
1990,04,LUMPFISH,3,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",12,,514
1990,04,LUMPFISH,14,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",12,,514
1990,04,LUMPFISH,13,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",11,,514
1990,04,LUMPFISH,7,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",12,,514
1990,04,LUMPFISH,3,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",17,,514
1990,04,LUMPFISH,5,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",12,,514
1990,04,LUMPFISH,7,1,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",36,,513
1990,04,LUMPFISH,8,1,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",28,,513
1990,04,LUMPFISH,5,0,058,"TRAWL,OTTER,BOTTOM,SHRIMP","FISH, NK",100,,513
1990,04,LUMPFISH,4,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",29,,514
1990,04,LUMPFISH,21,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",20,,514
1990,04,LUMPFISH,11,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",31,,513
1990,04,LUMPFISH,3,0,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES","FISH, NK",26,,513
