YEAR,MONTH,AREA,NEGEAR,GEARNM,COMNAME,LENANML,NUMLEN,NUMLEN
1992,03,514,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,33,1,1
1992,03,514,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,38,1,1
1996,05,514,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,35,1,1
1996,05,514,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,42,1,1
1999,11,513,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,52,1,1
2000,07,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,38,1,1
2003,02,514,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,44,1,1
2003,04,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,52,1,1
2003,04,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,39,1,1
2003,04,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,35,1,1
2003,04,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,41,1,1
2003,05,561,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,48,1,1
2003,06,514,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,28,1,1
2003,06,514,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,37,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,42,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,48,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,26,1,2
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,27,4,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,41,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,37,1,1
